Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:58:51.479,114301.6,0.002,BTCUSDT
2025-09-29 23:58:51.479,114301.6,0.001,BTCUSDT
2025-09-29 23:58:51.479,114301.8,0.001,BTCUSDT
2025-09-29 23:58:51.479,114301.8,0.004,BTCUSDT
2025-09-29 23:58:51.479,114301.9,0.002,BTCUSDT
2025-09-29 23:58:51.479,114302.0,1.225,BTCUSDT
2025-09-29 23:58:51.479,114302.1,0.001,BTCUSDT
2025-09-29 23:58:51.479,114302.1,0.001,BTCUSDT
2025-09-29 23:58:51.479,114302.1,0.001,BTCUSDT
2025-09-29 23:58:51.479,114302.2,0.002,BTCUSDT
2025-09-29 23:58:51.479,114302.2,0.002,BTCUSDT
2025-09-29 23:58:51.479,114302.2,0.001,BTCUSDT
2025-09-29 23:58:51.479,114302.3,0.028,BTCUSDT
2025-09-29 23:58:51.479,114302.6,0.184,BTCUSDT
2025-09-29 23:58:51.479,114302.7,1.462,BTCUSDT
2025-09-29 23:58:51.479,114302.7,0.15,BTCUSDT
2025-09-29 23:58:51.496,114302.6,0.005,BTCUSDT
2025-09-29 23:58:51.496,114302.6,0.005,BTCUSDT
2025-09-29 23:58:51.595,114302.6,0.018,BTCUSDT
2025-09-29 23:58:51.690,114302.6,0.018,BTCUSDT
2025-09-29 23:58:51.774,114302.6,0.018,BTCUSDT
2025-09-29 23:58:51.858,114302.6,0.018,BTCUSDT
2025-09-29 23:58:51.946,114302.7,0.066,BTCUSDT
2025-09-29 23:58:51.956,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.048,114302.6,0.003,BTCUSDT
2025-09-29 23:58:52.048,114302.6,0.015,BTCUSDT
2025-09-29 23:58:52.129,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.232,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.319,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.319,114302.7,0.087,BTCUSDT
2025-09-29 23:58:52.407,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.492,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.569,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.649,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.741,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.823,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.896,114302.6,0.018,BTCUSDT
2025-09-29 23:58:52.973,114302.6,0.018,BTCUSDT
2025-09-29 23:58:53.025,114302.7,0.003,BTCUSDT
2025-09-29 23:58:53.051,114302.6,0.018,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.379,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.5,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.624,BTCUSDT
